"ID","Title","Created By","Created On","Estimate","Expected Result","Forecast","Module","Owner","Preconditions","Priority","References","Release","Section","Section Description","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Shared step ID)","Steps (Step)","Suite","Suite ID","TC Status","Type","Updated By","Updated On"
"","","","","","","","","","","","","","","","","Drag and drop MYSQL Insert, Json Generator on canvas
All the snap should not be link and space should be present between the snaps.","","","","","Drag and drop MYSQL Insert, Json Generator on canvas
All the snap should not be link and space should be present between the snaps.","","","","","",""
"","","","","","","","","","","","","","","","","Click on Suggest Pipelines button
Expected Result:
Suggest Pipelines panel should contain suggested pipelines","","Suggest Pipelines panel should contain suggested pipelines","","","Click on Suggest Pipelines button","","","","","",""
"","","","","","","","","","","","","","","","","Select Synthesised Pipeline and click on import button and enter the details in import pipeline pop and click on save button
Expected Result:
Pipeline Config Wizard should be displayed to configure account reference","","Pipeline Config Wizard should be displayed to configure account reference","","","Select Synthesised Pipeline and click on import button and enter the details in import pipeline pop and click on save button","","","","","",""
"C10102857","Verify synthesised suggested pipelines with file reference for replace feature","Anumeha Singh","7/15/2019 5:20 AM","","",""," IA","Pavan V","Enable Integration Assistant in user settings","Medium","UI-3344, UI-3485","4.18","UI-3344 -Enhance IA pallette to include option to suggest  pipelines","","","Login to Designer page as Basic user","","","","","Login to Designer page as Basic user","Master","S1"," Automated","UI","Sunil Darshanam","5/30/2024 4:53 AM"
"","","","","","","","","","","","","","","","","Create an empty pipeline with name 'CSV to JSON pipeline'

 ","","","","","Create an empty pipeline with name 'CSV to JSON pipeline'

 ","","","","","",""
"","","","","","","","","","","","","","","","","Drag and drop File Reader ,Mapper snap on canvas
All the snap should not be link and space should be present between the snaps.","","","","","Drag and drop File Reader ,Mapper snap on canvas
All the snap should not be link and space should be present between the snaps.","","","","","",""
"","","","","","","","","","","","","","","","","Click on Suggest Pipelines button 
Expected Result:
Suggest Pipelines panel should contain suggested pipelines","","Suggest Pipelines panel should contain suggested pipelines","","","Click on Suggest Pipelines button ","","","","","",""
"","","","","","","","","","","","","","","","","Select Synthesised Pipeline and click on replace button
Expected Result:
Pipeline Config Wizard should be displayed to configure File reference","","Pipeline Config Wizard should be displayed to configure File reference","","","Select Synthesised Pipeline and click on replace button","","","","","",""
"C10102858","Verify suggestions of pattern pipelines","Anumeha Singh","7/15/2019 5:28 AM","","",""," IA","Pavan V","Enable Integration Assistant in user settings","Medium","UI-3344","4.18","UI-3344 -Enhance IA pallette to include option to suggest  pipelines","","","Login to Designer page as Any user","","","","","Login to Designer page as Any user","Master","S1"," Automated","API","Sunil Darshanam","5/30/2024 5:34 AM"
"","","","","","","","","","","","","","","","","Create an empty pipeline with name 'JSON pipeline'. Drag and drop MYSQL Insert and Json Generator snaps on canvas
All the snap should not be linked and space should be present between the snaps.","","","","","Create an empty pipeline with name 'JSON pipeline'. Drag and drop MYSQL Insert and Json Generator snaps on canvas
All the snap should not be linked and space should be present between the snaps.","","","","","",""
"","","","","","","","","","","","","","","","","Click on Suggest Pipelines button 
Expected Result:
Suggest Pipelines panel should contain suggested pipelines","","Suggest Pipelines panel should contain suggested pipelines","","","Click on Suggest Pipelines button ","","","","","",""
"","","","","","","","","","","","","","","","","Select Synthesised Pipeline and click on replace button
Expected Result:
Pipeline Config Wizard should be displayed to configure account reference
","","Pipeline Config Wizard should be displayed to configure account reference
","","","Select Synthesised Pipeline and click on replace button","","","","","",""
"C10102865","Verify pattern suggested pipelines with file reference for import feature","Anumeha Singh","7/15/2019 10:07 AM","","",""," IA","Pavan V","Enable Integration Assistant in user settings","Medium","UI-3344","4.18","UI-3344 -Enhance IA pallette to include option to suggest  pipelines","","","Login to Designer page as Basic user
","","","","","Login to Designer page as Basic user
","Master","S1"," Automated","API","Sunil Darshanam","5/30/2024 5:34 AM"
"","","","","","","","","","","","","","","","","Create an empty pipeline with name 'Archiving'. Drag and drop File reader snap on canvas","","","","","Create an empty pipeline with name 'Archiving'. Drag and drop File reader snap on canvas","","","","","",""
"","","","","","","","","","","","","","","","","Click on Suggest Pipelines button
Expected Result:
Suggest Pipelines panel should contain suggested pipelines","","Suggest Pipelines panel should contain suggested pipelines","","","Click on Suggest Pipelines button","","","","","",""
"","","","","","","","","","","","","","","","","Select pattern Pipeline and click on import button and enter the details in import pipeline pop and click on save button
Expected Result:
Pipeline Config Wizard should be displayed to configure File reference","","Pipeline Config Wizard should be displayed to configure File reference","","","Select pattern Pipeline and click on import button and enter the details in import pipeline pop and click on save button","","","","","",""
"C10102866","Verify pattern suggested pipelines with account reference for import feature","Anumeha Singh","7/15/2019 10:19 AM","","",""," IA","Pavan V","Enable Integration Assistant in user settings","Medium","UI-3344","4.18","UI-3344 -Enhance IA pallette to include option to suggest  pipelines","","","Login to Designer page as any user","","","","","Login to Designer page as any user","Master","S1"," Automated","UI","Sunil Darshanam","5/30/2024 4:53 AM"
"","","","","","","","","","","","","","","","","Create an empty pipeline with name 'Salesforce Contact to ServiceNow User'.
Note:- 'Salesforce Contact to ServiceNow User' is name of pattern present in SnapLogic Cloud Pattern.","","","","","Create an empty pipeline with name 'Salesforce Contact to ServiceNow User'.
Note:- 'Salesforce Contact to ServiceNow User' is name of pattern present in SnapLogic Cloud Pattern.","","","","","",""
"","","","","","","","","","","","","","","","","Click on Suggest Pipelines button 
Expected Result:
Suggest Pipelines panel should contain suggested pipelines","","Suggest Pipelines panel should contain suggested pipelines","","","Click on Suggest Pipelines button ","","","","","",""
"","","","","","","","","","","","","","","","","Select pattern Pipeline and click on import button and enter the details in import pipeline pop and click on save button

Expected Result:
Pipeline Config Wizard should be displayed to configure Account reference","","Pipeline Config Wizard should be displayed to configure Account reference","","","Select pattern Pipeline and click on import button and enter the details in import pipeline pop and click on save button
","","","","","",""
"C10102912","Verify pattern suggested pipelines with file reference for replace feature","Anumeha Singh","7/17/2019 9:22 PM","","",""," IA","Pavan V","Enable Integration Assistant in user settings","Medium","UI-3344","4.18","UI-3344 -Enhance IA pallette to include option to suggest  pipelines","","","Login to Designer page as Basic user","","","","","Login to Designer page as Basic user","Master","S1"," Automated","UI","Sunil Darshanam","5/30/2024 4:53 AM"
"","","","","","","","","","","","","","","","","Create an empty pipeline with name 'Archiving'. Drag and drop some snap on canvas","","","","","Create an empty pipeline with name 'Archiving'. Drag and drop some snap on canvas","","","","","",""
"","","","","","","","","","","","","","","","","Click on Suggest Pipelines button 
Expected Result:
Suggest Pipelines panel should contain suggested pipelines","","Suggest Pipelines panel should contain suggested pipelines","","","Click on Suggest Pipelines button ","","","","","",""
"","","","","","","","","","","","","","","","","Select pattern Pipeline and click on replace button
Expected Result:
Pipeline Config Wizard should be displayed to configure File reference","","Pipeline Config Wizard should be displayed to configure File reference","","","Select pattern Pipeline and click on replace button","","","","","",""
"C10102913","Verify pattern suggested pipelines with account reference for replace feature","Anumeha Singh","7/17/2019 9:29 PM","","",""," IA","Pavan V","Enable Integration Assistant in user settings","Medium","UI-3344","4.18","UI-3344 -Enhance IA pallette to include option to suggest  pipelines","","","Login to Designer page as Basic user","","","","","Login to Designer page as Basic user","Master","S1"," Automated","UI","Sunil Darshanam","5/30/2024 4:53 AM"
"","","","","","","","","","","","","","","","","Create an empty pipeline with name 'Salesforce Contact to ServiceNow User'.

Note:- 'Salesforce Contact to ServiceNow User' is name of pattern pipeline","","","","","Create an empty pipeline with name 'Salesforce Contact to ServiceNow User'.

Note:- 'Salesforce Contact to ServiceNow User' is name of pattern pipeline","","","","","",""
"","","","","","","","","","","","","","","","","Click on Suggest Pipelines button 
Expected Result:
Suggest Pipelines panel should contain suggested pipelines","","Suggest Pipelines panel should contain suggested pipelines","","","Click on Suggest Pipelines button ","","","","","",""
"","","","","","","","","","","","","","","","","Select pattern Pipeline and click on replace button
Expected Result:
Pipeline Config Wizard should be displayed to configure account reference","","Pipeline Config Wizard should be displayed to configure account reference","","","Select pattern Pipeline and click on replace button","","","","","",""
"C10102914","Verify  suggested regular pipelines open feature for read only permission","Anumeha Singh","7/17/2019 9:34 PM","","",""," IA","Pavan V","Login as admin user and import the attached project. 
Given read only permission to basic user.

","Medium","UI-3344, UI-3485","4.18","UI-3344 -Enhance IA pallette to include option to suggest  pipelines","","","Login to Designer page as Basic user
Enable Integration Assistant in user settings","","","","","Login to Designer page as Basic user
Enable Integration Assistant in user settings","Master","S1","Obsolete","UI","Pavan V","10/30/2024 5:26 AM"
"","","","","","","","","","","","","","","","","Create an empty pipeline with name 'PipeRecForOpenMaster' in another project.","","","","","Create an empty pipeline with name 'PipeRecForOpenMaster' in another project.","","","","","",""
"","","","","","","","","","","","","","","","","Click on Suggest Pipelines button
Expected Result:
Suggest Pipelines panel should contain suggested pipelines","","Suggest Pipelines panel should contain suggested pipelines","","","Click on Suggest Pipelines button","","","","","",""
"","","","","","","","","","","","","","","","","Click on Suggested regular pipeline with name 'PipeRecForOpenMaster'

","","","","","Click on Suggested regular pipeline with name 'PipeRecForOpenMaster'

","","","","","",""
"","","","","","","","","","","","","","","","","Click on open button in Pipeline Solver popup
Expected Result:
Pipeline should be opened in its own project and basic user should have read only permission on pipeline.","","Pipeline should be opened in its own project and basic user should have read only permission on pipeline.","","","Click on open button in Pipeline Solver popup","","","","","",""
"C10102915","Import pipeline with the same label as an existing pipeline, and verify suggested pipelines","Anumeha Singh","7/17/2019 9:37 PM","","",""," IA","Pavan V","Enable Integration Assistant in user settings","Medium","UI-3344","4.18","UI-3344 -Enhance IA pallette to include option to suggest  pipelines","","","Login to Designer page as any user","","","","","Login to Designer page as any user","Master","S1"," Automated","UI","Gowri Sankar","12/16/2024 8:41 AM"
"","","","","","","","","","","","","","","","","Create an empty pipeline with name 'Test pipeline'. Drag and drop CSV snaps on canvas and save the pipeline","","","","","Create an empty pipeline with name 'Test pipeline'. Drag and drop CSV snaps on canvas and save the pipeline","","","","","",""
"","","","","","","","","","","","","","","",""," Click on Suggest Pipelines button 
Expected Result:
Suggest Pipelines panel should contain suggested pipelines related to 'Test pipeline' label and CSV snaps","","Suggest Pipelines panel should contain suggested pipelines related to 'Test pipeline' label and CSV snaps","",""," Click on Suggest Pipelines button ","","","","","",""
"","","","","","","","","","","","","","","","","Export the pipeline","","","","","Export the pipeline","","","","","",""
"","","","","","","","","","","","","","","","","Now delete the CSV snaps in 'Test pipeline' and Drag and drop JSON snaps on canvas and save the pipeline","","","","","Now delete the CSV snaps in 'Test pipeline' and Drag and drop JSON snaps on canvas and save the pipeline","","","","","",""
"","","","","","","","","","","","","","","","","Click on Suggest Pipelines button 
Expected Result:
Suggest Pipelines panel should contain suggested pipelines related to 'Test pipeline' label and JSON snaps","","Suggest Pipelines panel should contain suggested pipelines related to 'Test pipeline' label and JSON snaps","","","Click on Suggest Pipelines button ","","","","","",""
"","","","","","","","","","","","","","","","","Import the pipeline which was exported before (with CSV snaps), choose 'Overwrite' inorder to save the imported pipeline.","","","","","Import the pipeline which was exported before (with CSV snaps), choose 'Overwrite' inorder to save the imported pipeline.","","","","","",""
"","","","","","","","","","","","","","","","","Click on Suggest Pipelines button 
Expected Result:
Suggest Pipelines panel should contain suggested pipelines related to 'Test pipeline' label and CSV snaps","","Suggest Pipelines panel should contain suggested pipelines related to 'Test pipeline' label and CSV snaps","","","Click on Suggest Pipelines button ","","","","","",""
"C10102950","Verify suggested regular pipelines open feature for read write  permission","F16442929789527","7/22/2019 4:57 AM","","",""," IA","Pavan V","Login as admin user and import the attached project. 
Given read only permission to basic user.","Medium","UI-3344, UI-3485","4.18","UI-3344 -Enhance IA pallette to include option to suggest  pipelines","","","Login to Designer page as Basic user
Enable Integration Assistant in user settings","","","","","Login to Designer page as Basic user
Enable Integration Assistant in user settings","Master","S1","Obsolete","UI","Pavan V","10/30/2024 5:27 AM"
"","","","","","","","","","","","","","","","","Create an empty pipeline with name 'PipeRecForOpenMaster' in another project.","","","","","Create an empty pipeline with name 'PipeRecForOpenMaster' in another project.","","","","","",""
"","","","","","","","","","","","","","","","","Click on Suggest Pipelines button
Expected Result:
Suggest Pipelines panel should contain suggested pipelines","","Suggest Pipelines panel should contain suggested pipelines","","","Click on Suggest Pipelines button","","","","","",""
"","","","","","","","","","","","","","","","","Click on Suggested regular pipeline with name 'PipeRecForOpenMaster'

","","","","","Click on Suggested regular pipeline with name 'PipeRecForOpenMaster'

","","","","","",""
"","","","","","","","","","","","","","","","","Click on open button in Pipeline Solver popup


Expected Result:
Pipeline should be opened in its own project and basic user should have read write permission on pipeline.

","","Pipeline should be opened in its own project and basic user should have read write permission on pipeline.

","","","Click on open button in Pipeline Solver popup

","","","","","",""
"C10103136","Script Error should not be displayed after clicking on suggest pipeline button","Anumeha Singh","8/12/2019 12:11 AM","","",""," IA","Pavan V","Enable Integration Assistant in user settings ","Medium","UI-3344, UI-3494","4.18","UI-3344 -Enhance IA pallette to include option to suggest  pipelines","","","Create an empty pipeline with Mapper and Json Generator Snap 
","","","","","Create an empty pipeline with Mapper and Json Generator Snap 
","Master","S1"," Automated","UI","Sunil Darshanam","5/30/2024 11:06 AM"
"","","","","","","","","","","","","","","","","Click on Suggest Pipeline Button","","","","","Click on Suggest Pipeline Button","","","","","",""
"","","","","","","","","","","","","","","","","Select Synthesized pipeline form Suggest Pipeline Pallette.
Expected Result:
Synthesized Pipeline should be selected","","Synthesized Pipeline should be selected","","","Select Synthesized pipeline form Suggest Pipeline Pallette.","","","","","",""
"","","","","","","","","","","","","","","","","Click on Replace Current Pipe 
Expected Result:
Snaps should be replaced","","Snaps should be replaced","","","Click on Replace Current Pipe ","","","","","",""
"","","","","","","","","","","","","","","","","Save and Validate the Pipeline 
Expected Result:
Pipeline should be save and validate successfully","","Pipeline should be save and validate successfully","","","Save and Validate the Pipeline ","","","","","",""
"","","","","","","","","","","","","","","","","Click on Suggest Pipeline button
Expected Result:
NO script Error should be display","","NO script Error should be display","","","Click on Suggest Pipeline button","","","","","",""
"C10103236","Verify opened pipeline itself is not shown in 'Suggested Pipelines Panel'","F16442929789527","8/12/2019 11:29 PM","","The pipeline itself which is opened should not be shown in 'Suggested Pipelines panel'.",""," IA","Pavan V","Create a pipeline with unique name and some snaps in that pipeline.","Medium","UI-3344","4.18","UI-3344 -Enhance IA pallette to include option to suggest  pipelines","","1. Login to Designer page as any user.
2. Enable Integration Assistant.
3. Open the created pipeline.
4. Click on 'Suggest Pipelines' button.","","","","","","","Master","S1"," Automated","UI","Gowri Sankar","12/1/2024 8:25 PM"
"C10103238","Verify editing of replaced pipeline","F16442929789527","8/13/2019 12:01 AM","","",""," IA","Pavan V","","Medium","UI-3344","4.18","UI-3344 -Enhance IA pallette to include option to suggest  pipelines","","","Login to Designer page as any user.
Enable Integration Assistance.
Create a pipeline with name 'Json 1' and add JSON Generator and File Writer snaps on canvas.
Click on 'Suggest Pipelines'.
Expected Result:
'Suggested pipelines panel' will be displayed.","","'Suggested pipelines panel' will be displayed.","","","Login to Designer page as any user.
Enable Integration Assistance.
Create a pipeline with name 'Json 1' and add JSON Generator and File Writer snaps on canvas.
Click on 'Suggest Pipelines'.","Master","S1"," Automated","UI","Sunil Darshanam","5/30/2024 11:06 AM"
"","","","","","","","","","","","","","","","","Click on Suggested Synthesis / regular / patter pipeline.
Click on 'Replace current pipe' button in 'Pipeline Solver' popup.
Expected Result:
Current pipeline will be replaced.","","Current pipeline will be replaced.","","","Click on Suggested Synthesis / regular / patter pipeline.
Click on 'Replace current pipe' button in 'Pipeline Solver' popup.","","","","","",""
"","","","","","","","","","","","","","","","","Delete a snap and save the pipeline.
Expected Result:
Pipeline should be saved successfully.

Error popup should not be displayed
![](index.php?/attachments/get/8316)","","Pipeline should be saved successfully.

Error popup should not be displayed
![](index.php?/attachments/get/8316)","","","Delete a snap and save the pipeline.","","","","","",""
"C10103240","Verify editing of imported pipeline","F16442929789527","8/13/2019 12:08 AM","","",""," IA","Pavan V","","Medium","UI-3344","4.18","UI-3344 -Enhance IA pallette to include option to suggest  pipelines","","","Login to Designer page as any user.
Enable Integration Assistance.
Create a pipeline with name 'Json 1' and add JSON Generator and File Writer snaps on canvas.
Click on 'Suggest Pipelines'.
Expected Result:
'Suggested pipelines panel' will be displayed.","","'Suggested pipelines panel' will be displayed.","","","Login to Designer page as any user.
Enable Integration Assistance.
Create a pipeline with name 'Json 1' and add JSON Generator and File Writer snaps on canvas.
Click on 'Suggest Pipelines'.","Master","S1"," Automated","UI","Sunil Darshanam","5/30/2024 11:06 AM"
"","","","","","","","","","","","","","","","","Click on Suggested Synthesis / regular / patter pipeline.
Click on 'Import' button in 'Pipeline Recommendation' popup.
Expected Result:
Pipeline should be imported and new pipeline popup should be displayed","","Pipeline should be imported and new pipeline popup should be displayed","","","Click on Suggested Synthesis / regular / patter pipeline.
Click on 'Import' button in 'Pipeline Recommendation' popup.","","","","","",""
"","","","","","","","","","","","","","","","","Enter pipeline label as 'Json 1 import' and select the project (where the pipeline has to be imported)
Save the pipeline
Expected Result:
Pipeline should be saved successfully.","","Pipeline should be saved successfully.","","","Enter pipeline label as 'Json 1 import' and select the project (where the pipeline has to be imported)
Save the pipeline","","","","","",""
"","","","","","","","","","","","","","","","","Delete a snap and save the pipeline.
Expected Result:
Pipeline should be saved successfully.

Error popup should not be displayed.
![](index.php?/attachments/get/8318)","","Pipeline should be saved successfully.

Error popup should not be displayed.
![](index.php?/attachments/get/8318)","","","Delete a snap and save the pipeline.","","","","","",""
"C10103243","Verify unfinished pipeline solver api calls are aborted when new api call is triggered.","F16442929789527","8/13/2019 12:53 AM","","",""," IA","Pavan V","","Medium","UI-3344","4.18","UI-3344 -Enhance IA pallette to include option to suggest  pipelines","","","Login to Designer page as any user.
Enable Integration Assistance.
Open existing pipeline or Create a new pipeline with name 'Json 1' and add JSON Generator and File Writer snaps on canvas.
Click on 'Suggest Pipelines'.
Expected Result:
'Suggested pipelines panel' will be displayed.","","'Suggested pipelines panel' will be displayed.","","","Login to Designer page as any user.
Enable Integration Assistance.
Open existing pipeline or Create a new pipeline with name 'Json 1' and add JSON Generator and File Writer snaps on canvas.
Click on 'Suggest Pipelines'.","Master","S1","Obsolete","API","Pavan V","10/30/2024 3:37 AM"
"","","","","","","","","","","","","","","","","Open network tab 
Switch between 'Suggest Pipelines' and 'Suggest Snaps' very quickly by clicking on those buttons for 2 to 3 times.
Verify 'Suggest Pipeline' api calls - &lt;pod url&gt;/api/1/rest/slserver/iris_pipeline_recommend
Expected Result:
unfinished api calls should be aborted and their status should be 'canceled'
","","unfinished api calls should be aborted and their status should be 'canceled'
","","","Open network tab 
Switch between 'Suggest Pipelines' and 'Suggest Snaps' very quickly by clicking on those buttons for 2 to 3 times.
Verify 'Suggest Pipeline' api calls - &lt;pod url&gt;/api/1/rest/slserver/iris_pipeline_recommend","","","","","",""
"C10102859","Verify that suggestion snaps donot blink","Krishna Chaitanya","7/15/2019 8:28 AM","","verify that the snap suggestion are not blinking on the canvas page",""," IA","Pavan V","IA suggestions are set on ","Medium","","4.18","UI-3344 -Enhance IA pallette to include option to suggest  pipelines","","create a new pipeline
drag a snap","","","","","","","Master","S1"," Automated","UI","Sunil Darshanam","5/30/2024 10:56 AM"
"C10102860","Verify that context menu has a secondary menu in the Assistant menu item","Krishna Chaitanya","7/15/2019 8:30 AM","","verify that the assistant sub menu item has a submenu with options:
upstream
downstream",""," IA","Pavan V","IA suggestions are set on ","Medium","","4.18","UI-3344 -Enhance IA pallette to include option to suggest  pipelines","","create a new pipeline
drag a snap add a suggestion snap suggested by IA
right click on the snap","","","","","","","Master","S1"," Automated","UI","Sunil Darshanam","5/30/2024 10:56 AM"
"C10103355","Verify suggested regular pipelines open feature for read execute permission","Anumeha Singh","8/30/2019 12:51 AM","","",""," IA","Pavan V","Login as admin user and import the attached project. 
Given read only permission to basic user.","Medium","UI-3344, UI-3485","4.18","UI-3344 -Enhance IA pallette to include option to suggest  pipelines","","","Login to Designer page as Basic user
Enable Integration Assistant in user settings","","","","","Login to Designer page as Basic user
Enable Integration Assistant in user settings","Master","S1","Obsolete","UI","Pavan V","10/30/2024 5:27 AM"
"","","","","","","","","","","","","","","","","Create an empty pipeline with name 'PipeRecForOpenMaster' in another project.","","","","","Create an empty pipeline with name 'PipeRecForOpenMaster' in another project.","","","","","",""
"","","","","","","","","","","","","","","","","Click on Suggest Pipelines button
Expected Result:
Suggest Pipelines panel should contain suggested pipelines","","Suggest Pipelines panel should contain suggested pipelines","","","Click on Suggest Pipelines button","","","","","",""
"","","","","","","","","","","","","","","","","Click on Suggested regular pipeline with name 'PipeRecForOpenMaster'","","","","","Click on Suggested regular pipeline with name 'PipeRecForOpenMaster'","","","","","",""
"","","","","","","","","","","","","","","","","Click on open button in Pipeline Solver popup
Expected Result:
Pipeline should be opened in its own project and basic user should have read execute permission on pipeline.","","Pipeline should be opened in its own project and basic user should have read execute permission on pipeline.","","","Click on open button in Pipeline Solver popup","","","","","",""
"C10103356","Verify  suggested regular pipelines open feature for Full access/owner permission","Anumeha Singh","8/30/2019 12:55 AM","","",""," IA","Pavan V","Login as admin user and import the attached project. 
Given read only permission to basic user.","Medium","UI-3344, UI-3485","4.18","UI-3344 -Enhance IA pallette to include option to suggest  pipelines","","","Login to Designer page as Basic user
Enable Integration Assistant in user settings","","","","","Login to Designer page as Basic user
Enable Integration Assistant in user settings","Master","S1"," Manual","UI","Priya Sao","7/26/2024 1:13 PM"
"","","","","","","","","","","","","","","","","Create an empty pipeline with name 'PipeRecForOpenMaster' in another project.","","","","","Create an empty pipeline with name 'PipeRecForOpenMaster' in another project.","","","","","",""
"","","","","","","","","","","","","","","","","Click on Suggest Pipelines button
Expected Result:
Suggest Pipelines panel should contain suggested pipelines","","Suggest Pipelines panel should contain suggested pipelines","","","Click on Suggest Pipelines button","","","","","",""
"","","","","","","","","","","","","","","","","Click on Suggested regular pipeline with name 'PipeRecForOpenMaster'","","","","","Click on Suggested regular pipeline with name 'PipeRecForOpenMaster'","","","","","",""
"","","","","","","","","","","","","","","","","Click on open button in Pipeline Solver popup
Expected Result:
Pipeline should be opened in its own project and basic user should have read only permission on pipeline.","","Pipeline should be opened in its own project and basic user should have read only permission on pipeline.","","","Click on open button in Pipeline Solver popup","","","","","",""
"C10103357","Click on suggested synthesis pipeline and verify popup - header, content and buttons.","F16442929789527","8/30/2019 1:00 AM","","",""," IA","Pavan V","","Medium","UI-3344","4.18","UI-3344 -Enhance IA pallette to include option to suggest  pipelines","","","Login to Designer page as Basic user.
Enable Integration Assistance
Create an empty pipeline with name 'SynPipeTest' and add 'File Reader' and 'Mapper' snaps
Click on Suggest pipelines button
Expected Result:
Suggested pipelines panel should contain suggested pipelines","","Suggested pipelines panel should contain suggested pipelines","","","Login to Designer page as Basic user.
Enable Integration Assistance
Create an empty pipeline with name 'SynPipeTest' and add 'File Reader' and 'Mapper' snaps
Click on Suggest pipelines button","Master","S1"," Automated","UI","Sunil Darshanam","5/31/2024 11:29 AM"
"","","","","","","","","","","","","","","","","Click on synthesized pipeline
Expected Result:
verify 
popup header - Pipeline Recommendation
popup content - 
buttons - cancel, import and replace","","verify 
popup header - Pipeline Recommendation
popup content - 
buttons - cancel, import and replace","","","Click on synthesized pipeline","","","","","",""
"C10103358","Click on suggested cloud pattern pipeline and verify popup - header, content and buttons","F16442929789527","8/30/2019 1:02 AM","","",""," IA","Pavan V","","Medium","UI-3344","4.18","UI-3344 -Enhance IA pallette to include option to suggest  pipelines","","","Login to Designer page as Basic user.
Enable Integration Assistance
Create an empty pipeline with name 'Archiving'
Click on Suggest pipelines button
Expected Result:
Suggested pipelines panel should contain suggested pipelines","","Suggested pipelines panel should contain suggested pipelines","","","Login to Designer page as Basic user.
Enable Integration Assistance
Create an empty pipeline with name 'Archiving'
Click on Suggest pipelines button","Master","S1","Obsolete","UI","Anton Samsonov","12/19/2023 9:40 AM"
"","","","","","","","","","","","","","","","","Click on cloud pattern pipeline
Expected Result:
verify 
popup header - Pipeline Recommendation
popup content - 
buttons - cancel, import and replace","","verify 
popup header - Pipeline Recommendation
popup content - 
buttons - cancel, import and replace","","","Click on cloud pattern pipeline","","","","","",""
"C10103359","Click on suggested regular pipeline and verify popup - header, content and buttons.","F16442929789527","8/30/2019 1:05 AM","","",""," IA","Pavan V","create a non-empty pipeline with name 'RegularPipeTest' and wait for 6 mins","Medium","UI-3344","4.18","UI-3344 -Enhance IA pallette to include option to suggest  pipelines","","","Login to Designer page as Basic user.
Enable Integration Assistance
Create an empty pipeline with name 'RegularPipeTest 1'
Click on Suggest pipelines button
Expected Result:
Suggested pipelines panel should contain suggested pipelines","","Suggested pipelines panel should contain suggested pipelines","","","Login to Designer page as Basic user.
Enable Integration Assistance
Create an empty pipeline with name 'RegularPipeTest 1'
Click on Suggest pipelines button","Master","S1"," Manual","UI","Priya Sao","7/26/2024 1:13 PM"
"","","","","","","","","","","","","","","","","Click on regular pipeline with name 'RegularPipeTest'
Expected Result:
verify 
popup header - Pipeline Recommendation
popup content - 
buttons - cancel, open and replace","","verify 
popup header - Pipeline Recommendation
popup content - 
buttons - cancel, open and replace","","","Click on regular pipeline with name 'RegularPipeTest'","","","","","",""
"C10146461","Verify replacing a regular pipeline from SOURCE:""""Org Shared"""" to DESTINATION:""""Org Shared"""" with references in """"Org Shared"""" should be successful","F16442929789527","9/17/2019 4:25 AM","","The pipeline should be replaced and executed successfully",""," IA","Pavan V","Create references in Org Shared.
Import attached pipeline in Org Shared project and configure the references.","Low","UI-3344","4.18","UI-3344 -Enhance IA pallette to include option to suggest  pipelines","","Create a pipeline with name 'PipeRecMasterOfOrg PRec' in Org Shared project
Click on Suggest Pipelines button
Click on Suggested regular pipeline with name 'PipeRecMasterOfOrg' (i.e., imported pipeline)
Click on replace button in Pipeline Recommendation popup","","","","","","","Master","S1"," Manual","UI","Priya Sao","7/26/2024 1:13 PM"
"C10146462","Verify replacing a regular pipeline from SOURCE:""""Org Shared"""" to DESTINATION:""""Project Space Shared"""" with references in """"Org Shared"""" should be successful","F16442929789527","9/17/2019 4:25 AM","","The pipeline should be replaced and executed successfully",""," IA","Pavan V","Create references in Org Shared.
Import attached pipeline in Org Shared project and configure the references.","Critical","UI-3344","4.18","UI-3344 -Enhance IA pallette to include option to suggest  pipelines","","Create a pipeline with name 'PipeRecMasterOfOrg PRec' in Project space Shared project
Click on Suggest Pipelines button
Click on Suggested regular pipeline with name 'PipeRecMasterOfOrg' (i.e., imported pipeline)
Click on replace button in Pipeline Recommendation popup","","","","","","","Master","S1"," Manual","UI","Priya Sao","7/26/2024 1:13 PM"
"C10146463","Verify replacing a regular pipeline from SOURCE:""""Project Space Shared"""" to DESTINATION:""""Project"""" with references in """"Project Space Shared"""" should be successful","F16442929789527","9/17/2019 4:25 AM","","The pipeline should be replaced and executed successfully",""," IA","Pavan V","Create references in Project space Shared.
Import attached pipeline in Project space Shared project and configure the references.","High","UI-3344","4.18","UI-3344 -Enhance IA pallette to include option to suggest  pipelines","","Create a pipeline with name 'PipeRecMasterOfPS PRec' in a Project
Click on Suggest Pipelines button
Click on Suggested regular pipeline with name 'PipeRecMasterOfPS' (i.e., imported pipeline)
Click on replace button in Pipeline Recommendation popup","","","","","","","Master","S1"," Manual","UI","Priya Sao","7/26/2024 1:13 PM"
